"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","11","50","1","1","57.225563","0","172"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","11","50","24","1","51.739182","0","129"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","11","50","1","1","48.443756","0","1131"
"/Game/StarterContent/Materials/M_Glass.M_Glass","11","32","1","1","18.186287","0","548"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","11","70","1","1","77.131042","0","887"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","11","50","1","1","54.813038","0","221"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","11","50","1","1","53.348679","0","206"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","11","70","1","1","73.262611","0","333"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","11","40","1","1","23.743771","0","138"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","11","6","1","1","3.721840","0","17"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","11","50","1","1","56.957344","0","184"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","11","50","1","1","56.130379","0","196"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","11","50","1","1","57.639080","0","207"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","11","50","1","1","57.297897","0","229"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","11","50","1","1","57.167294","0","206"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","11","50","1","1","56.768635","0","226"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","11","50","1","1","57.090866","0","178"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","11","50","1","1","56.990879","0","231"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","11","6","6","1","3.467531","0","9"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","11","50","1","1","57.317364","0","196"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","11","50","1","1","56.286278","0","224"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","11","50","2","1","56.260319","0","226"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","11","12","1","1","6.302114","0","37"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","11","50","1","1","55.780025","0","197"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","11","50","1","1","56.528008","0","212"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","11","50","1","1","56.619026","0","242"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","11","50","1","1","56.556087","0","208"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","11","50","1","1","56.337627","0","212"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","11","50","1","1","56.209900","0","179"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","11","50","1","1","56.158001","0","154"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","11","50","1","1","56.339500","0","197"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","11","50","1","1","56.465809","0","211"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","11","50","1","1","56.474541","0","205"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","11","50","1","1","56.245800","0","231"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","11","50","1","1","56.665874","0","133"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","11","50","1","1","56.461544","0","229"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","11","50","1","1","56.473763","0","206"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","11","50","1","1","56.404724","0","177"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","11","50","1","1","56.476772","0","156"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","11","50","2","1","55.598541","0","186"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","11","50","1","1","56.394737","0","177"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","11","50","1","1","56.277046","0","194"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","11","50","1","1","57.313240","0","182"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","11","50","1","1","57.367805","0","157"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","11","50","2","1","54.608147","0","147"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","11","50","1","1","44.183289","0","163"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","11","50","1","1","44.781200","0","227"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","11","50","2","1","41.848656","0","176"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","11","50","1","1","41.139404","0","168"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","11","50","1","1","41.792759","0","163"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","11","50","1","1","45.487495","0","238"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","11","50","1","1","47.083717","0","168"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","11","56","1","1","54.849247","0","170"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","11","50","1","1","54.062122","0","214"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","11","8","8","1","4.344403","0","9"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","11","50","1","1","53.646935","0","170"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","11","50","1","1","53.752964","0","183"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","11","50","1","1","54.855595","0","163"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","11","50","1","1","53.578091","0","180"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","11","32","21","1","18.902754","0","95"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","11","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","11","0","2","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","11","0","22","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","11","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","11","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","11","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","11","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","11","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","11","0","25","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","11","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","11","0","2","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","11","0","2","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","11","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","11","0","20","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","11","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","11","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","11","0","40","1","0.000000","0","0"
